# ArraySize TwoWayMergeSortSteps ThreeWayMergeSortSteps
847 8293 5221
848 8304 5223
849 8315 5241
850 8326 5243
851 8337 5261
852 8348 5247
853 8359 5265
854 8370 5267
855 8381 5301
856 8392 5303
857 8403 5313
858 8414 5307
859 8425 5317
860 8436 5311
861 8447 5337
862 8458 5331
863 8469 5341
864 8480 5319
865 8491 5329
866 8502 5335
867 8513 5349
868 8524 5355
869 8535 5369
870 8546 5367
871 8557 5381
872 8568 5387
873 8579 5409
874 8590 5415
875 8601 5429
876 8612 5427
877 8623 5441
878 8634 5439
879 8645 5469
880 8656 5467
881 8667 5481
882 8678 5463
883 8689 5477
884 8700 5483
885 8711 5505
886 8722 5511
887 8733 5533
888 8744 5523
889 8755 5545
890 8766 5551
891 8777 5589
892 8788 5595
893 8799 5603
894 8810 5607
895 8821 5615
896 8832 5619
897 8843 5631
898 8854 5635
899 8865 5643
900 8876 5643
901 8887 5651
902 8898 5655
903 8909 5667
904 8920 5671
905 8931 5683
906 8942 5679
907 8953 5691
908 8964 5695
909 8975 5715
910 8986 5719
911 8997 5727
912 9008 5727
913 9019 5735
914 9030 5735
915 9041 5751
916 9052 5751
917 9063 5759
918 9074 5751
919 9085 5759
920 9096 5763
921 9107 5775
922 9118 5779
923 9129 5791
924 9140 5787
925 9151 5799
926 9162 5803
927 9173 5823
928 9184 5827
929 9195 5839
930 9206 5835
931 9217 5847
932 9228 5843
933 9239 5871
934 9250 5867
935 9261 5879
936 9272 5859
937 9283 5871
938 9294 5875
939 9305 5895
940 9316 5899
941 9327 5919
942 9338 5907
943 9349 5927
944 9360 5931
945 9371 5967
946 9382 5971
947 9393 5979
948 9404 5979
949 9415 5987
950 9426 5987
951 9437 6003
952 9448 6003
953 9459 6011
954 9470 6003
955 9481 6011
956 9492 6011
957 9503 6027
958 9514 6027
959 9525 6043
960 9536 6027
961 9547 6043
962 9558 6043
963 9569 6075
964 9580 6075
965 9591 6083
966 9602 6075
967 9613 6083
968 9624 6075
969 9635 6099
970 9646 6091
971 9657 6099
972 9668 6075
973 9679 6083
974 9690 6089
975 9701 6099
976 9712 6105
977 9723 6115
978 9734 6117
979 9745 6127
980 9756 6133
981 9767 6147
982 9778 6153
983 9789 6163
984 9800 6165
985 9811 6175
986 9822 6177
987 9833 6195
988 9844 6197
989 9855 6207
990 9866 6201
991 9877 6211
992 9888 6217
993 9899 6231
994 9910 6237
995 9921 6251
996 9932 6249
997 9943 6263
998 9954 6269
999 9965 6291
1000 9976 6297
